customer_id,first_name,last_name,email,created_at
CUST001001,FirstName1001,LastName1001,newcustomer0@hotmail.com,2024-11-25 04:29:17
CUST001002,FirstName1002,LastName1002,newcustomer1@outlook.com,2024-11-24 12:22:41
CUST001003,FirstName1003,LastName1003,newcustomer2@outlook.com,2024-11-20 10:39:24
CUST001004,FirstName1004,LastName1004,newcustomer3@gmail.com,2024-11-21 12:38:49
CUST001005,FirstName1005,LastName1005,newcustomer4@gmail.com,2024-11-21 03:27:41
CUST001006,FirstName1006,LastName1006,newcustomer5@outlook.com,2024-11-26 17:53:10
CUST001007,FirstName1007,LastName1007,newcustomer6@hotmail.com,2024-11-23 05:22:05
CUST001008,FirstName1008,LastName1008,newcustomer7@yahoo.com,2024-11-20 10:13:28
CUST001009,FirstName1009,LastName1009,newcustomer8@yahoo.com,2024-11-25 17:16:26
CUST001010,FirstName1010,LastName1010,newcustomer9@yahoo.com,2024-11-21 22:55:40
CUST001011,FirstName1011,LastName1011,newcustomer10@gmail.com,2024-11-24 09:09:33
CUST001012,FirstName1012,LastName1012,newcustomer11@gmail.com,2024-11-23 20:20:33
CUST001013,FirstName1013,LastName1013,newcustomer12@gmail.com,2024-11-23 21:16:28
CUST001014,FirstName1014,LastName1014,newcustomer13@gmail.com,2024-11-21 05:16:17
CUST001015,FirstName1015,LastName1015,newcustomer14@yahoo.com,2024-11-25 02:58:47
CUST001016,FirstName1016,LastName1016,newcustomer15@yahoo.com,2024-11-26 20:44:09
CUST001017,FirstName1017,LastName1017,newcustomer16@outlook.com,2024-11-20 09:33:21
CUST001018,FirstName1018,LastName1018,newcustomer17@outlook.com,2024-11-22 17:21:21
CUST001019,FirstName1019,LastName1019,newcustomer18@yahoo.com,2024-11-23 07:31:04
CUST001020,FirstName1020,LastName1020,newcustomer19@outlook.com,2024-11-20 20:18:27
CUST001021,FirstName1021,LastName1021,newcustomer20@gmail.com,2024-11-22 09:49:49
CUST001022,FirstName1022,LastName1022,newcustomer21@gmail.com,2024-11-25 19:36:57
CUST001023,FirstName1023,LastName1023,newcustomer22@hotmail.com,2024-11-21 02:54:39
CUST001024,FirstName1024,LastName1024,newcustomer23@gmail.com,2024-11-26 20:20:36
CUST001025,FirstName1025,LastName1025,newcustomer24@yahoo.com,2024-11-22 18:53:07
CUST001026,FirstName1026,LastName1026,newcustomer25@yahoo.com,2024-11-24 10:27:28
CUST001027,FirstName1027,LastName1027,newcustomer26@hotmail.com,2024-11-21 16:15:59
CUST001028,FirstName1028,LastName1028,newcustomer27@yahoo.com,2024-11-24 06:08:35
CUST001029,FirstName1029,LastName1029,newcustomer28@hotmail.com,2024-11-23 09:19:10
CUST001030,FirstName1030,LastName1030,newcustomer29@hotmail.com,2024-11-22 14:39:45
CUST001031,FirstName1031,LastName1031,newcustomer30@outlook.com,2024-11-23 00:39:34
CUST001032,FirstName1032,LastName1032,newcustomer31@outlook.com,2024-11-20 22:50:24
CUST001033,FirstName1033,LastName1033,newcustomer32@hotmail.com,2024-11-21 12:40:58
CUST001034,FirstName1034,LastName1034,newcustomer33@outlook.com,2024-11-21 23:00:25
CUST001035,FirstName1035,LastName1035,newcustomer34@hotmail.com,2024-11-26 14:39:58
CUST001036,FirstName1036,LastName1036,newcustomer35@yahoo.com,2024-11-20 13:21:24
CUST001037,FirstName1037,LastName1037,newcustomer36@gmail.com,2024-11-21 01:54:12
CUST001038,FirstName1038,LastName1038,newcustomer37@hotmail.com,2024-11-19 22:49:07
CUST001039,FirstName1039,LastName1039,newcustomer38@outlook.com,2024-11-23 23:01:01
CUST001040,FirstName1040,LastName1040,newcustomer39@gmail.com,2024-11-20 13:45:42
CUST001041,FirstName1041,LastName1041,newcustomer40@gmail.com,2024-11-19 23:58:14
CUST001042,FirstName1042,LastName1042,newcustomer41@gmail.com,2024-11-20 00:20:10
CUST001043,FirstName1043,LastName1043,newcustomer42@gmail.com,2024-11-20 03:09:13
CUST001044,FirstName1044,LastName1044,newcustomer43@hotmail.com,2024-11-22 22:41:53
CUST001045,FirstName1045,LastName1045,newcustomer44@hotmail.com,2024-11-21 18:32:10
CUST001046,FirstName1046,LastName1046,newcustomer45@hotmail.com,2024-11-23 21:52:01
CUST001047,FirstName1047,LastName1047,newcustomer46@outlook.com,2024-11-19 22:50:55
CUST001048,FirstName1048,LastName1048,newcustomer47@gmail.com,2024-11-26 05:46:13
CUST001049,FirstName1049,LastName1049,newcustomer48@yahoo.com,2024-11-24 04:51:25
CUST001050,FirstName1050,LastName1050,newcustomer49@outlook.com,2024-11-24 18:29:19
CUST001051,FirstName1051,LastName1051,newcustomer50@hotmail.com,2024-11-25 18:42:58
CUST001052,FirstName1052,LastName1052,newcustomer51@gmail.com,2024-11-23 14:47:25
CUST001053,FirstName1053,LastName1053,newcustomer52@outlook.com,2024-11-20 17:06:56
CUST001054,FirstName1054,LastName1054,newcustomer53@hotmail.com,2024-11-22 09:10:03
CUST001055,FirstName1055,LastName1055,newcustomer54@hotmail.com,2024-11-20 08:05:31
CUST001056,FirstName1056,LastName1056,newcustomer55@yahoo.com,2024-11-25 01:23:33
CUST001057,FirstName1057,LastName1057,newcustomer56@outlook.com,2024-11-24 04:11:32
CUST001058,FirstName1058,LastName1058,newcustomer57@hotmail.com,2024-11-26 19:19:45
CUST001059,FirstName1059,LastName1059,newcustomer58@outlook.com,2024-11-21 21:15:30
CUST001060,FirstName1060,LastName1060,newcustomer59@hotmail.com,2024-11-26 18:56:46
CUST001061,FirstName1061,LastName1061,newcustomer60@outlook.com,2024-11-23 00:17:34
CUST001062,FirstName1062,LastName1062,newcustomer61@gmail.com,2024-11-22 00:05:53
CUST001063,FirstName1063,LastName1063,newcustomer62@yahoo.com,2024-11-21 03:40:04
CUST001064,FirstName1064,LastName1064,newcustomer63@outlook.com,2024-11-21 11:34:13
CUST001065,FirstName1065,LastName1065,newcustomer64@yahoo.com,2024-11-19 23:03:19
CUST001066,FirstName1066,LastName1066,newcustomer65@hotmail.com,2024-11-21 00:40:39
CUST001067,FirstName1067,LastName1067,newcustomer66@gmail.com,2024-11-20 07:36:43
CUST001068,FirstName1068,LastName1068,newcustomer67@gmail.com,2024-11-25 20:55:11
CUST001069,FirstName1069,LastName1069,newcustomer68@hotmail.com,2024-11-24 23:42:06
CUST001070,FirstName1070,LastName1070,newcustomer69@outlook.com,2024-11-19 23:14:22
CUST001071,FirstName1071,LastName1071,newcustomer70@gmail.com,2024-11-23 12:29:36
CUST001072,FirstName1072,LastName1072,newcustomer71@outlook.com,2024-11-20 03:45:02
CUST001073,FirstName1073,LastName1073,newcustomer72@hotmail.com,2024-11-24 23:49:15
CUST001074,FirstName1074,LastName1074,newcustomer73@gmail.com,2024-11-23 06:29:14
CUST001075,FirstName1075,LastName1075,newcustomer74@outlook.com,2024-11-21 03:32:52
CUST001076,FirstName1076,LastName1076,newcustomer75@gmail.com,2024-11-22 00:24:28
CUST001077,FirstName1077,LastName1077,newcustomer76@outlook.com,2024-11-24 14:01:43
CUST001078,FirstName1078,LastName1078,newcustomer77@hotmail.com,2024-11-23 23:52:23
CUST001079,FirstName1079,LastName1079,newcustomer78@gmail.com,2024-11-21 08:39:23
CUST001080,FirstName1080,LastName1080,newcustomer79@gmail.com,2024-11-21 00:15:24
CUST001081,FirstName1081,LastName1081,newcustomer80@yahoo.com,2024-11-22 16:02:40
CUST001082,FirstName1082,LastName1082,newcustomer81@hotmail.com,2024-11-25 14:19:37
CUST001083,FirstName1083,LastName1083,newcustomer82@gmail.com,2024-11-23 01:53:12
CUST001084,FirstName1084,LastName1084,newcustomer83@hotmail.com,2024-11-19 23:37:43
CUST001085,FirstName1085,LastName1085,newcustomer84@outlook.com,2024-11-23 08:34:01
CUST001086,FirstName1086,LastName1086,newcustomer85@hotmail.com,2024-11-26 01:16:30
CUST001087,FirstName1087,LastName1087,newcustomer86@hotmail.com,2024-11-25 00:53:07
CUST001088,FirstName1088,LastName1088,newcustomer87@hotmail.com,2024-11-21 15:38:42
CUST001089,FirstName1089,LastName1089,newcustomer88@gmail.com,2024-11-25 16:32:46
CUST001090,FirstName1090,LastName1090,newcustomer89@yahoo.com,2024-11-22 00:40:25
CUST001091,FirstName1091,LastName1091,newcustomer90@gmail.com,2024-11-21 03:59:05
CUST001092,FirstName1092,LastName1092,newcustomer91@hotmail.com,2024-11-20 12:59:36
CUST001093,FirstName1093,LastName1093,newcustomer92@hotmail.com,2024-11-24 17:43:17
CUST001094,FirstName1094,LastName1094,newcustomer93@outlook.com,2024-11-26 09:23:45
CUST001095,FirstName1095,LastName1095,newcustomer94@outlook.com,2024-11-21 03:26:27
CUST001096,FirstName1096,LastName1096,newcustomer95@yahoo.com,2024-11-22 11:57:09
CUST001097,FirstName1097,LastName1097,newcustomer96@hotmail.com,2024-11-21 11:16:19
CUST001098,FirstName1098,LastName1098,newcustomer97@yahoo.com,2024-11-20 07:05:00
CUST001099,FirstName1099,LastName1099,newcustomer98@hotmail.com,2024-11-24 22:05:19
CUST001100,FirstName1100,LastName1100,newcustomer99@hotmail.com,2024-11-25 03:07:28
CUST001101,FirstName1101,LastName1101,newcustomer100@hotmail.com,2024-11-24 14:39:10
CUST001102,FirstName1102,LastName1102,newcustomer101@hotmail.com,2024-11-22 07:45:14
CUST001103,FirstName1103,LastName1103,newcustomer102@gmail.com,2024-11-20 17:07:56
CUST001104,FirstName1104,LastName1104,newcustomer103@hotmail.com,2024-11-23 11:14:58
CUST001105,FirstName1105,LastName1105,newcustomer104@gmail.com,2024-11-25 22:40:24
CUST001106,FirstName1106,LastName1106,newcustomer105@outlook.com,2024-11-24 15:28:05
CUST001107,FirstName1107,LastName1107,newcustomer106@outlook.com,2024-11-26 17:25:17
CUST001108,FirstName1108,LastName1108,newcustomer107@gmail.com,2024-11-19 22:01:05
CUST001109,FirstName1109,LastName1109,newcustomer108@gmail.com,2024-11-22 16:47:03
CUST001110,FirstName1110,LastName1110,newcustomer109@outlook.com,2024-11-22 21:07:48
CUST001111,FirstName1111,LastName1111,newcustomer110@yahoo.com,2024-11-26 01:45:03
CUST001112,FirstName1112,LastName1112,newcustomer111@yahoo.com,2024-11-26 12:46:56
CUST001113,FirstName1113,LastName1113,newcustomer112@yahoo.com,2024-11-20 18:49:51
CUST001114,FirstName1114,LastName1114,newcustomer113@yahoo.com,2024-11-22 15:08:04
CUST001115,FirstName1115,LastName1115,newcustomer114@outlook.com,2024-11-21 05:39:09
CUST001116,FirstName1116,LastName1116,newcustomer115@yahoo.com,2024-11-22 17:22:02
CUST001117,FirstName1117,LastName1117,newcustomer116@yahoo.com,2024-11-20 23:44:58
CUST001118,FirstName1118,LastName1118,newcustomer117@outlook.com,2024-11-23 13:49:33
CUST001119,FirstName1119,LastName1119,newcustomer118@outlook.com,2024-11-25 02:37:09
CUST001120,FirstName1120,LastName1120,newcustomer119@outlook.com,2024-11-22 02:42:01
CUST001121,FirstName1121,LastName1121,newcustomer120@outlook.com,2024-11-20 04:32:08
CUST001122,FirstName1122,LastName1122,newcustomer121@hotmail.com,2024-11-20 08:17:59
CUST001123,FirstName1123,LastName1123,newcustomer122@yahoo.com,2024-11-24 07:04:00
CUST001124,FirstName1124,LastName1124,newcustomer123@hotmail.com,2024-11-24 17:12:32
CUST001125,FirstName1125,LastName1125,newcustomer124@gmail.com,2024-11-23 04:44:45
CUST001126,FirstName1126,LastName1126,newcustomer125@yahoo.com,2024-11-24 14:09:14
CUST001127,FirstName1127,LastName1127,newcustomer126@yahoo.com,2024-11-22 18:45:06
CUST001128,FirstName1128,LastName1128,newcustomer127@gmail.com,2024-11-20 16:04:12
CUST001129,FirstName1129,LastName1129,newcustomer128@gmail.com,2024-11-25 17:28:21
CUST001130,FirstName1130,LastName1130,newcustomer129@yahoo.com,2024-11-22 16:11:59
CUST001131,FirstName1131,LastName1131,newcustomer130@hotmail.com,2024-11-22 01:33:42
CUST001132,FirstName1132,LastName1132,newcustomer131@gmail.com,2024-11-25 03:37:28
CUST001133,FirstName1133,LastName1133,newcustomer132@yahoo.com,2024-11-25 08:39:27
CUST001134,FirstName1134,LastName1134,newcustomer133@hotmail.com,2024-11-20 12:50:09
CUST001135,FirstName1135,LastName1135,newcustomer134@gmail.com,2024-11-21 08:46:41
CUST001136,FirstName1136,LastName1136,newcustomer135@yahoo.com,2024-11-20 03:06:33
CUST001137,FirstName1137,LastName1137,newcustomer136@outlook.com,2024-11-20 20:02:35
CUST001138,FirstName1138,LastName1138,newcustomer137@gmail.com,2024-11-20 03:12:45
CUST001139,FirstName1139,LastName1139,newcustomer138@yahoo.com,2024-11-23 15:07:19
CUST001140,FirstName1140,LastName1140,newcustomer139@yahoo.com,2024-11-26 16:07:15
CUST001141,FirstName1141,LastName1141,newcustomer140@gmail.com,2024-11-23 04:06:35
CUST001142,FirstName1142,LastName1142,newcustomer141@hotmail.com,2024-11-21 17:01:27
CUST001143,FirstName1143,LastName1143,newcustomer142@outlook.com,2024-11-26 05:23:40
CUST001144,FirstName1144,LastName1144,newcustomer143@outlook.com,2024-11-21 07:31:42
CUST001145,FirstName1145,LastName1145,newcustomer144@hotmail.com,2024-11-24 03:35:06
CUST001146,FirstName1146,LastName1146,newcustomer145@outlook.com,2024-11-23 00:58:03
CUST001147,FirstName1147,LastName1147,newcustomer146@gmail.com,2024-11-24 10:26:14
CUST001148,FirstName1148,LastName1148,newcustomer147@yahoo.com,2024-11-21 08:01:29
CUST001149,FirstName1149,LastName1149,newcustomer148@gmail.com,2024-11-25 16:28:32
CUST001150,FirstName1150,LastName1150,newcustomer149@outlook.com,2024-11-25 11:00:04
CUST001151,FirstName1151,LastName1151,newcustomer150@outlook.com,2024-11-22 01:29:31
CUST001152,FirstName1152,LastName1152,newcustomer151@gmail.com,2024-11-21 22:56:57
CUST001153,FirstName1153,LastName1153,newcustomer152@outlook.com,2024-11-25 13:36:07
CUST001154,FirstName1154,LastName1154,newcustomer153@yahoo.com,2024-11-23 20:38:03
CUST001155,FirstName1155,LastName1155,newcustomer154@hotmail.com,2024-11-22 00:41:46
CUST001156,FirstName1156,LastName1156,newcustomer155@yahoo.com,2024-11-25 08:57:12
CUST001157,FirstName1157,LastName1157,newcustomer156@outlook.com,2024-11-23 18:19:51
CUST001158,FirstName1158,LastName1158,newcustomer157@gmail.com,2024-11-23 02:50:04
CUST001159,FirstName1159,LastName1159,newcustomer158@outlook.com,2024-11-25 21:53:06
CUST001160,FirstName1160,LastName1160,newcustomer159@hotmail.com,2024-11-23 05:57:40
CUST001161,FirstName1161,LastName1161,newcustomer160@yahoo.com,2024-11-21 18:30:14
CUST001162,FirstName1162,LastName1162,newcustomer161@hotmail.com,2024-11-21 13:49:16
CUST001163,FirstName1163,LastName1163,newcustomer162@hotmail.com,2024-11-23 01:44:55
CUST001164,FirstName1164,LastName1164,newcustomer163@hotmail.com,2024-11-26 00:53:42
CUST001165,FirstName1165,LastName1165,newcustomer164@hotmail.com,2024-11-23 15:05:11
CUST001166,FirstName1166,LastName1166,newcustomer165@outlook.com,2024-11-24 17:33:47
CUST001167,FirstName1167,LastName1167,newcustomer166@yahoo.com,2024-11-26 09:27:03
CUST001168,FirstName1168,LastName1168,newcustomer167@outlook.com,2024-11-24 19:44:30
CUST001169,FirstName1169,LastName1169,newcustomer168@hotmail.com,2024-11-24 12:17:45
CUST001170,FirstName1170,LastName1170,newcustomer169@gmail.com,2024-11-25 22:00:53
CUST001171,FirstName1171,LastName1171,newcustomer170@hotmail.com,2024-11-21 05:39:56
CUST001172,FirstName1172,LastName1172,newcustomer171@gmail.com,2024-11-26 04:08:03
CUST001173,FirstName1173,LastName1173,newcustomer172@outlook.com,2024-11-23 04:02:48
CUST001174,FirstName1174,LastName1174,newcustomer173@hotmail.com,2024-11-21 15:05:08
CUST001175,FirstName1175,LastName1175,newcustomer174@yahoo.com,2024-11-23 15:47:52
CUST001176,FirstName1176,LastName1176,newcustomer175@outlook.com,2024-11-21 16:54:36
CUST001177,FirstName1177,LastName1177,newcustomer176@outlook.com,2024-11-22 02:20:39
CUST001178,FirstName1178,LastName1178,newcustomer177@outlook.com,2024-11-21 08:25:23
CUST001179,FirstName1179,LastName1179,newcustomer178@outlook.com,2024-11-25 23:17:25
CUST001180,FirstName1180,LastName1180,newcustomer179@gmail.com,2024-11-25 18:32:27
CUST001181,FirstName1181,LastName1181,newcustomer180@outlook.com,2024-11-25 02:03:43
CUST001182,FirstName1182,LastName1182,newcustomer181@gmail.com,2024-11-20 19:38:44
CUST001183,FirstName1183,LastName1183,newcustomer182@outlook.com,2024-11-22 06:26:53
CUST001184,FirstName1184,LastName1184,newcustomer183@gmail.com,2024-11-22 08:19:16
CUST001185,FirstName1185,LastName1185,newcustomer184@gmail.com,2024-11-20 10:44:25
CUST001186,FirstName1186,LastName1186,newcustomer185@outlook.com,2024-11-22 20:24:52
CUST001187,FirstName1187,LastName1187,newcustomer186@yahoo.com,2024-11-23 03:10:54
CUST001188,FirstName1188,LastName1188,newcustomer187@hotmail.com,2024-11-21 01:42:41
CUST001189,FirstName1189,LastName1189,newcustomer188@gmail.com,2024-11-24 05:29:31
CUST001190,FirstName1190,LastName1190,newcustomer189@yahoo.com,2024-11-24 20:59:41
CUST001191,FirstName1191,LastName1191,newcustomer190@hotmail.com,2024-11-24 16:25:59
CUST001192,FirstName1192,LastName1192,newcustomer191@gmail.com,2024-11-19 22:35:52
CUST001193,FirstName1193,LastName1193,newcustomer192@yahoo.com,2024-11-20 06:24:02
CUST001194,FirstName1194,LastName1194,newcustomer193@yahoo.com,2024-11-21 04:48:23
CUST001195,FirstName1195,LastName1195,newcustomer194@yahoo.com,2024-11-24 23:57:27
CUST001196,FirstName1196,LastName1196,newcustomer195@hotmail.com,2024-11-21 13:22:15
CUST001197,FirstName1197,LastName1197,newcustomer196@gmail.com,2024-11-23 04:01:37
CUST001198,FirstName1198,LastName1198,newcustomer197@yahoo.com,2024-11-22 05:50:24
CUST001199,FirstName1199,LastName1199,newcustomer198@yahoo.com,2024-11-23 16:46:26
CUST001200,FirstName1200,LastName1200,newcustomer199@yahoo.com,2024-11-23 20:55:14
